15:09:12: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:47: 16,1,1.61,420.00
15:09:47: 

15:09:48: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:48: 1,1,1.53,956.00
15:09:48: 2,1,1.61,968.00
15:09:48: 3,1,1.37,324.00
15:09:48: 4,1,1.61,356.00
15:09:48: 5,1,1.55,700.00
15:09:48: 6,1,1.61,788.00
15:09:48: 7,1,1.32,888.00
15:09:48: 8,1,1.55,968.00
15:09:48: 9,1,1.55,420.00
15:09:48: 10,1,1.40,548.00
15:09:48: 11,1,1.40,532.00
15:09:48: 12,1,1.61,636.00
15:09:48: 13,1,1.60,356.00
15:09:48: 14,1,1.61,372.00
15:09:48: 15,1,1.37,364.00
15:09:48: 16,1,1.40,388.00
15:09:48: 

15:09:48: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:48: 1,1,1.61,844.00
15:09:48: 2,1,1.40,832.00
15:09:48: 3,1,1.40,356.00
15:09:48: 4,1,1.61,356.00
15:09:48: 5,1,1.61,700.00
15:09:48: 6,1,1.40,788.00
15:09:48: 7,1,1.55,880.00
15:09:48: 8,1,1.60,968.00
15:09:48: 9,1,1.61,420.00
15:09:48: 10,1,1.61,532.00
15:09:48: 11,1,1.61,548.00
15:09:48: 12,1,1.55,636.00
15:09:48: 13,1,1.37,356.00
15:09:48: 14,1,1.37,356.00
15:09:48: 15,1,1.55,388.00
15:09:48: 16,1,1.37,388.00
15:09:48: 

15:09:49: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:49: 1,1,1.51,968.00
15:09:49: 2,1,1.60,948.00
15:09:49: 3,1,1.61,364.00
15:09:49: 4,1,1.60,356.00
15:09:49: 5,1,1.61,728.00
15:09:49: 6,1,1.60,760.00
15:09:49: 7,1,1.61,892.00
15:09:49: 8,1,1.55,924.00
15:09:49: 9,1,1.40,476.00
15:09:49: 10,1,1.55,492.00
15:09:49: 11,1,1.55,580.00
15:09:49: 12,1,1.55,580.00
15:09:49: 13,1,1.61,388.00
15:09:49: 14,1,1.53,356.00
15:09:49: 15,1,1.53,420.00
15:09:49: 16,1,1.55,372.00
15:09:49: 

15:09:49: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:49: 1,1,1.55,924.00
15:09:49: 2,1,1.61,956.00
15:09:49: 3,1,1.40,364.00
15:09:49: 4,1,1.61,356.00
15:09:49: 5,1,1.61,732.00
15:09:49: 6,1,1.40,732.00
15:09:49: 7,1,1.61,924.00
15:09:49: 8,1,1.61,920.00
15:09:49: 9,1,1.53,492.00
15:09:49: 10,1,1.45,476.00
15:09:49: 11,1,1.61,612.00
15:09:49: 12,1,1.61,552.00
15:09:49: 13,1,1.61,372.00
15:09:49: 14,1,1.61,356.00
15:09:49: 15,1,1.61,420.00
15:09:49: 16,1,1.40,388.00
15:09:49: 

15:09:50: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:50: 1,1,1.51,952.00
15:09:50: 2,1,1.61,968.00
15:09:50: 3,1,1.45,356.00
15:09:50: 4,1,1.61,356.00
15:09:50: 5,1,1.37,732.00
15:09:50: 6,1,1.61,756.00
15:09:50: 7,1,1.50,924.00
15:09:50: 8,1,1.61,924.00
15:09:50: 9,1,1.60,476.00
15:09:50: 10,1,1.61,476.00
15:09:50: 11,1,1.60,580.00
15:09:50: 12,1,1.61,580.00
15:09:50: 13,1,1.60,356.00
15:09:50: 14,1,1.61,372.00
15:09:50: 15,1,1.55,388.00
15:09:50: 16,1,1.61,388.00
15:09:50: 

15:09:50: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:50: 1,1,1.60,924.00
15:09:50: 2,1,1.61,968.00
15:09:50: 3,1,1.55,352.00
15:09:50: 4,1,1.40,352.00
15:09:50: 5,1,1.37,700.00
15:09:50: 6,1,1.40,784.00
15:09:50: 7,1,1.60,888.00
15:09:50: 8,1,1.55,948.00
15:09:50: 9,1,1.47,420.00
15:09:50: 10,1,1.40,524.00
15:09:50: 11,1,1.55,548.00
15:09:50: 12,1,1.40,636.00
15:09:50: 13,1,1.37,356.00
15:09:50: 14,1,1.61,372.00
15:09:50: 15,1,1.55,372.00
15:09:50: 16,1,1.40,420.00
15:09:50: 

15:09:51: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:51: 1,1,1.61,788.00
15:09:51: 2,1,1.61,956.00
15:09:51: 3,1,1.40,356.00
15:09:51: 4,1,1.61,356.00
15:09:51: 5,1,1.61,684.00
15:09:51: 6,1,1.61,788.00
15:09:51: 7,1,1.37,864.00
15:09:51: 8,1,1.60,968.00
15:09:51: 9,1,1.60,420.00
15:09:51: 10,1,1.55,512.00
15:09:51: 11,1,1.61,548.00
15:09:51: 12,1,1.61,644.00
15:09:51: 13,1,1.36,356.00
15:09:51: 14,1,1.51,364.00
15:09:51: 15,1,1.61,388.00
15:09:51: 16,1,1.45,420.00
15:09:51: 

15:09:51: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:51: 1,1,1.61,844.00
15:09:51: 2,1,1.55,836.00
15:09:51: 3,1,1.61,356.00
15:09:51: 4,1,1.60,356.00
15:09:51: 5,1,1.61,720.00
15:09:51: 6,1,1.55,776.00
15:09:51: 7,1,1.45,892.00
15:09:51: 8,1,1.37,948.00
15:09:51: 9,1,1.40,464.00
15:09:51: 10,1,1.55,492.00
15:09:51: 11,1,1.55,568.00
15:09:51: 12,1,1.60,612.00
15:09:51: 13,1,1.55,372.00
15:09:51: 14,1,1.55,356.00
15:09:51: 15,1,1.55,388.00
15:09:51: 16,1,1.53,388.00
15:09:51: 

15:09:51: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:51: 1,1,1.40,924.00
15:09:51: 2,1,1.60,952.00
15:09:51: 3,1,1.61,356.00
15:09:51: 4,1,1.55,356.00
15:09:51: 5,1,1.61,732.00
15:09:51: 6,1,1.37,732.00
15:09:51: 7,1,1.61,924.00
15:09:51: 8,1,1.55,920.00
15:09:51: 9,1,1.61,492.00
15:09:51: 10,1,1.37,476.00
15:09:51: 11,1,1.61,612.00
15:09:51: 12,1,1.61,576.00
15:09:51: 13,1,1.61,372.00
15:09:51: 14,1,1.37,356.00
15:09:51: 15,1,1.61,420.00
15:09:51: 16,1,1.55,388.00
15:09:51: 

15:09:52: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:52: 1,1,1.61,920.00
15:09:52: 2,1,1.45,968.00
15:09:52: 3,1,1.61,356.00
15:09:52: 4,1,1.61,356.00
15:09:52: 5,1,1.37,732.00
15:09:52: 6,1,1.55,732.00
15:09:52: 7,1,1.55,924.00
15:09:52: 8,1,1.61,892.00
15:09:52: 9,1,1.61,492.00
15:09:52: 10,1,1.61,464.00
15:09:52: 11,1,1.61,612.00
15:09:52: 12,1,1.61,556.00
15:09:52: 13,1,1.61,372.00
15:09:52: 14,1,1.61,364.00
15:09:52: 15,1,1.61,388.00
15:09:52: 16,1,1.61,388.00
15:09:52: 

15:09:52: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:52: 1,1,1.40,976.00
15:09:52: 2,1,1.40,980.00
15:09:52: 3,1,1.55,324.00
15:09:52: 4,1,1.61,364.00
15:09:52: 5,1,1.55,720.00
15:09:52: 6,1,1.61,756.00
15:09:52: 7,1,1.53,892.00
15:09:52: 8,1,1.61,924.00
15:09:52: 9,1,1.60,472.00
15:09:52: 10,1,1.61,512.00
15:09:52: 11,1,1.60,576.00
15:09:52: 12,1,1.40,612.00
15:09:52: 13,1,1.53,356.00
15:09:52: 14,1,1.61,372.00
15:09:52: 15,1,1.60,388.00
15:09:52: 16,1,1.61,388.00
15:09:52: 

15:09:53: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:53: 1,1,1.61,948.00
15:09:53: 2,1,1.61,968.00
15:09:53: 3,1,1.60,356.00
15:09:53: 4,1,1.61,324.00
15:09:53: 5,1,1.61,684.00
15:09:53: 6,1,1.61,788.00
15:09:53: 7,1,1.61,880.00
15:09:53: 8,1,1.40,968.00
15:09:53: 9,1,1.50,420.00
15:09:53: 10,1,1.61,532.00
15:09:53: 11,1,1.40,532.00
15:09:53: 12,1,1.40,636.00
15:09:53: 13,1,1.60,356.00
15:09:53: 14,1,1.61,372.00
15:09:53: 15,1,1.61,372.00
15:09:53: 16,1,1.61,420.00
15:09:53: 

15:09:53: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:53: 1,1,1.61,844.00
15:09:53: 2,1,1.61,920.00
15:09:53: 3,1,1.61,356.00
15:09:53: 4,1,1.37,364.00
15:09:53: 5,1,1.61,700.00
15:09:53: 6,1,1.47,788.00
15:09:53: 7,1,1.40,868.00
15:09:53: 8,1,1.55,956.00
15:09:53: 9,1,1.61,448.00
15:09:53: 10,1,1.55,524.00
15:09:53: 11,1,1.53,548.00
15:09:53: 12,1,1.37,612.00
15:09:53: 13,1,1.40,364.00
15:09:53: 14,1,1.55,356.00
15:09:53: 15,1,1.61,388.00
15:09:53: 16,1,1.61,388.00
15:09:53: 

15:09:54: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:54: 1,1,1.61,892.00
15:09:54: 2,1,1.60,948.00
15:09:54: 3,1,1.61,364.00
15:09:54: 4,1,1.55,356.00
15:09:54: 5,1,1.53,732.00
15:09:54: 6,1,1.45,756.00
15:09:54: 7,1,1.61,920.00
15:09:54: 8,1,1.55,892.00
15:09:54: 9,1,1.40,476.00
15:09:54: 10,1,1.55,476.00
15:09:54: 11,1,1.61,580.00
15:09:54: 12,1,1.61,580.00
15:09:54: 13,1,1.61,388.00
15:09:54: 14,1,1.47,356.00
15:09:54: 15,1,1.55,416.00
15:09:54: 16,1,1.55,372.00
15:09:54: 

15:09:54: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:54: 1,1,1.61,844.00
15:09:54: 2,1,1.61,920.00
15:09:54: 3,1,1.40,308.00
15:09:54: 4,1,1.61,356.00
15:09:54: 5,1,1.61,732.00
15:09:54: 6,1,1.50,732.00
15:09:54: 7,1,1.61,924.00
15:09:54: 8,1,1.61,912.00
15:09:54: 9,1,1.40,492.00
15:09:54: 10,1,1.37,472.00
15:09:54: 11,1,1.61,612.00
15:09:54: 12,1,1.47,556.00
15:09:54: 13,1,1.61,364.00
15:09:54: 14,1,1.61,356.00
15:09:54: 15,1,1.60,388.00
15:09:54: 16,1,1.61,388.00
15:09:54: 

15:09:55: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:55: 1,1,1.37,976.00
15:09:55: 2,1,1.40,980.00
15:09:55: 3,1,1.55,352.00
15:09:55: 4,1,1.40,356.00
15:09:55: 5,1,1.50,732.00
15:09:55: 6,1,1.40,756.00
15:09:55: 7,1,1.60,892.00
15:09:55: 8,1,1.61,924.00
15:09:55: 9,1,1.60,476.00
15:09:55: 10,1,1.61,492.00
15:09:55: 11,1,1.60,580.00
15:09:55: 12,1,1.40,580.00
15:09:55: 13,1,1.37,356.00
15:09:55: 14,1,1.55,372.00
15:09:55: 15,1,1.55,372.00
15:09:55: 16,1,1.61,420.00
15:09:55: 

15:09:55: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:55: 1,1,1.55,788.00
15:09:55: 2,1,1.40,924.00
15:09:55: 3,1,1.55,324.00
15:09:55: 4,1,1.40,364.00
15:09:55: 5,1,1.60,700.00
15:09:55: 6,1,1.61,788.00
15:09:55: 7,1,1.55,888.00
15:09:55: 8,1,1.55,948.00
15:09:55: 9,1,1.37,444.00
15:09:55: 10,1,1.61,524.00
15:09:55: 11,1,1.37,532.00
15:09:55: 12,1,1.61,636.00
15:09:55: 13,1,1.51,356.00
15:09:55: 14,1,1.40,372.00
15:09:55: 15,1,1.55,388.00
15:09:55: 16,1,1.55,416.00
15:09:55: 

15:09:55: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:55: 1,1,1.61,804.00
15:09:55: 2,1,1.40,980.00
15:09:55: 3,1,1.61,356.00
15:09:55: 4,1,1.37,364.00
15:09:55: 5,1,1.61,684.00
15:09:55: 6,1,1.53,788.00
15:09:55: 7,1,1.60,868.00
15:09:55: 8,1,1.61,976.00
15:09:55: 9,1,1.61,420.00
15:09:55: 10,1,1.61,548.00
15:09:55: 11,1,1.61,532.00
15:09:55: 12,1,1.53,664.00
15:09:55: 13,1,1.40,364.00
15:09:55: 14,1,1.40,364.00
15:09:55: 15,1,1.37,388.00
15:09:55: 16,1,1.61,388.00
15:09:55: 

15:09:56: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:56: 1,1,1.61,924.00
15:09:56: 2,1,1.60,956.00
15:09:56: 3,1,1.61,356.00
15:09:56: 4,1,1.61,356.00
15:09:56: 5,1,1.61,700.00
15:09:56: 6,1,1.37,776.00
15:09:56: 7,1,1.50,892.00
15:09:56: 8,1,1.60,924.00
15:09:56: 9,1,1.40,476.00
15:09:56: 10,1,1.37,492.00
15:09:56: 11,1,1.50,580.00
15:09:56: 12,1,1.40,580.00
15:09:56: 13,1,1.40,388.00
15:09:56: 14,1,1.60,352.00
15:09:56: 15,1,1.55,408.00
15:09:56: 16,1,1.55,388.00
15:09:56: 

15:09:56: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:56: 1,1,1.61,968.00
15:09:56: 2,1,1.61,948.00
15:09:56: 3,1,1.61,356.00
15:09:56: 4,1,1.37,324.00
15:09:56: 5,1,1.40,732.00
15:09:56: 6,1,1.61,732.00
15:09:56: 7,1,1.61,924.00
15:09:56: 8,1,1.37,924.00
15:09:56: 9,1,1.61,492.00
15:09:56: 10,1,1.55,476.00
15:09:56: 11,1,1.61,612.00
15:09:56: 12,1,1.61,568.00
15:09:56: 13,1,1.61,388.00
15:09:56: 14,1,1.55,356.00
15:09:56: 15,1,1.53,388.00
15:09:56: 16,1,1.37,372.00
15:09:56: 

15:09:57: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:57: 1,1,1.50,860.00
15:09:57: 2,1,1.61,956.00
15:09:57: 3,1,1.61,356.00
15:09:57: 4,1,1.61,356.00
15:09:57: 5,1,1.61,732.00
15:09:57: 6,1,1.40,732.00
15:09:57: 7,1,1.50,924.00
15:09:57: 8,1,1.61,920.00
15:09:57: 9,1,1.51,492.00
15:09:57: 10,1,1.61,476.00
15:09:57: 11,1,1.50,580.00
15:09:57: 12,1,1.61,568.00
15:09:57: 13,1,1.61,364.00
15:09:57: 14,1,1.60,356.00
15:09:57: 15,1,1.37,388.00
15:09:57: 16,1,1.61,388.00
15:09:57: 

15:09:57: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:57: 1,1,1.55,920.00
15:09:57: 2,1,1.61,968.00
15:09:57: 3,1,1.55,324.00
15:09:57: 4,1,1.40,364.00
15:09:57: 5,1,1.37,720.00
15:09:57: 6,1,1.61,776.00
15:09:57: 7,1,1.55,892.00
15:09:57: 8,1,1.40,948.00
15:09:57: 9,1,1.45,464.00
15:09:57: 10,1,1.61,524.00
15:09:57: 11,1,1.37,556.00
15:09:57: 12,1,1.61,612.00
15:09:57: 13,1,1.55,352.00
15:09:57: 14,1,1.51,388.00
15:09:57: 15,1,1.55,372.00
15:09:57: 16,1,1.61,388.00
15:09:57: 

15:09:58: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:58: 1,1,1.61,892.00
15:09:58: 2,1,1.40,980.00
15:09:58: 3,1,1.60,356.00
15:09:58: 4,1,1.37,356.00
15:09:58: 5,1,1.37,696.00
15:09:58: 6,1,1.61,788.00
15:09:58: 7,1,1.37,880.00
15:09:58: 8,1,1.40,968.00
15:09:58: 9,1,1.61,420.00
15:09:58: 10,1,1.61,548.00
15:09:58: 11,1,1.37,524.00
15:09:58: 12,1,1.61,656.00
15:09:58: 13,1,1.61,356.00
15:09:58: 14,1,1.61,384.00
15:09:58: 15,1,1.61,388.00
15:09:58: 16,1,1.61,416.00
15:09:58: 

15:09:58: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:58: 1,1,1.61,836.00
15:09:58: 2,1,1.61,948.00
15:09:58: 3,1,1.61,356.00
15:09:58: 4,1,1.33,324.00
15:09:58: 5,1,1.40,700.00
15:09:58: 6,1,1.61,788.00
15:09:58: 7,1,1.61,888.00
15:09:58: 8,1,1.40,980.00
15:09:58: 9,1,1.45,448.00
15:09:58: 10,1,1.50,524.00
15:09:58: 11,1,1.61,548.00
15:09:58: 12,1,1.61,612.00
15:09:58: 13,1,1.40,364.00
15:09:58: 14,1,1.37,356.00
15:09:58: 15,1,1.53,388.00
15:09:58: 16,1,1.37,388.00
15:09:58: 

15:09:59: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:59: 1,1,1.61,968.00
15:09:59: 2,1,1.55,948.00
15:09:59: 3,1,1.53,364.00
15:09:59: 4,1,1.51,324.00
15:09:59: 5,1,1.51,732.00
15:09:59: 6,1,1.50,756.00
15:09:59: 7,1,1.55,924.00
15:09:59: 8,1,1.37,924.00
15:09:59: 9,1,1.61,476.00
15:09:59: 10,1,1.55,476.00
15:09:59: 11,1,1.40,580.00
15:09:59: 12,1,1.50,580.00
15:09:59: 13,1,1.61,388.00
15:09:59: 14,1,1.37,352.00
15:09:59: 15,1,1.61,420.00
15:09:59: 16,1,1.60,372.00
15:09:59: 

15:09:59: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:59: 1,1,1.40,924.00
15:09:59: 2,1,1.37,892.00
15:09:59: 3,1,1.61,356.00
15:09:59: 4,1,1.61,356.00
15:09:59: 5,1,1.53,732.00
15:09:59: 6,1,1.40,732.00
15:09:59: 7,1,1.50,924.00
15:09:59: 8,1,1.50,924.00
15:09:59: 9,1,1.61,492.00
15:09:59: 10,1,1.55,476.00
15:09:59: 11,1,1.61,612.00
15:09:59: 12,1,1.55,568.00
15:09:59: 13,1,1.40,372.00
15:09:59: 14,1,1.53,364.00
15:09:59: 15,1,1.40,388.00
15:09:59: 16,1,1.61,388.00
15:09:59: 

15:09:59: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:59: 1,1,1.61,952.00
15:09:59: 2,1,1.61,968.00
15:09:59: 3,1,1.40,352.00
15:09:59: 4,1,1.61,364.00
15:09:59: 5,1,1.61,732.00
15:09:59: 6,1,1.55,756.00
15:09:59: 7,1,1.45,892.00
15:09:59: 8,1,1.61,924.00
15:09:59: 9,1,1.53,476.00
15:09:59: 10,1,1.61,492.00
15:09:59: 11,1,1.55,580.00
15:09:59: 12,1,1.61,580.00
15:09:59: 13,1,1.55,356.00
15:09:59: 14,1,1.61,372.00
15:09:59: 15,1,1.53,388.00
15:09:59: 16,1,1.61,408.00
15:09:59: 

15:10:00: CHANNEL,STATE,VOLTAGE,CURRENT
15:10:00: 1,1,1.37,968.00
15:10:00: 2,1,1.61,968.00
15:10:00: 3,1,1.53,324.00
15:10:00: 4,1,1.61,364.00
15:10:00: 5,1,1.55,700.00
15:10:00: 6,1,1.61,788.00
15:10:00: 7,1,1.61,880.00
15:10:00: 8,1,1.40,924.00
15:10:00: 9,1,1.37,444.00
15:10:00: 10,1,1.61,532.00
15:10:00: 11,1,1.55,532.00
15:10:00: 12,1,1.40,636.00
15:10:00: 13,1,1.60,356.00
15:10:00: 14,1,1.61,388.00
15:10:00: 15,1,1.55,388.00
15:10:00: 16,1,1.61,416.00
15:10:00: 

15:10:00: CHANNEL,STATE,VOLTAGE,CURRENT
15:10:00: 1,1,1.61,844.00
15:10:00: 2,1,1.61,952.00
15:10:00: 3,1,1.35,324.00
15:10:00: 4,1,1.61,356.00
15:10:00: 5,1,1.40,684.00
15:10:00: 6,1,1.61,788.00
15:10:00: 7,1,1.40,868.00
15:10:00: 8,1,1.61,968.00
15:10:00: 9,1,1.61,420.00
15:10:00: 10,1,1.61,552.00
15:10:00: 11,1,1.61,524.00
15:10:00: 12,1,1.37,644.00
15:10:00: 13,1,1.61,364.00
15:10:00: 14,1,1.40,372.00
15:10:00: 15,1,1.61,388.00
15:10:00: 16,1,1.40,388.00
15:10:00: 

15:10:01: CHANNEL,STATE,VOLTAGE,CURRENT
15:10:01: 1,1,1.55,968.00
15:10:01: 2,1,1.60,952.00
15:10:01: 3,1,1.61,360.00
15:10:01: 4,1,1.45,356.00
15:10:01: 5,1,1.61,720.00
15:10:01: 6,1,1.60,784.00
15:10:01: 7,1,1.61,892.00
15:10:01: 8,1,1.60,924.00
15:10:01: 9,1,1.55,476.00
15:10:01: 10,1,1.60,492.00
15:10:01: 11,1,1.55,576.00
15:10:01: 12,1,1.55,612.00
15:10:01: 13,1,1.53,372.00
15:10:01: 14,1,1.37,364.00
15:10:01: 15,1,1.61,408.00
15:10:01: 16,1,1.50,372.00
15:10:01: 

15:10:01: CHANNEL,STATE,VOLTAGE,CURRENT
15:10:01: 1,1,1.40,924.00
15:10:01: 2,1,1.37,860.00
15:10:01: 3,1,1.61,360.00
15:10:01: 4,1,1.60,356.00
15:10:01: 5,1,1.61,756.00
15:10:01: 6,1,1.55,732.00
15:10:01: 7,1,1.61,924.00
15:10:01: 8,1,1.32,892.00
15:10:01: 9,1,1.61,492.00
15:10:01: 10,1,1.60,476.00
15:10:01: 11,1,1.55,612.00
15:10:01: 12,1,1.60,568.00
15:10:01: 13,1,1.55,372.00
15:10:01: 14,1,1.61,356.00
15:10:01: 15,1,1.40,420.00
15:10:01: 16,1,1.60,372.00
15:10:01: 

15:10:02: CHANNEL,STATE,VOLTAGE,CURRENT
15:10:02: 1,1,1.50,956.00
15:10:02: 2,1,1.61,968.00
15:10:02: 3,1,1.40,356.00
15:10:02: 4,1,1.61,356.00
15:10:02: 5,1,1.50,732.00
15:10:02: 6,1,1.47,732.00
15:10:02: 7,1,1.37,924.00
15:10:02: 8,1,1.61,924.00
15:10:02: 9,1,1.61,492.00
15:10:02: 10,1,1.61,476.00
15:10:02: 11,1,1.60,612.00
15:10:02: 12,1,1.61,576.00
15:10:02: 13,1,1.60,356.00
15:10:02: 14,1,1.45,356.00
15:10:02: 15,1,1.60,388.00
15:10:02: 16,1,1.61,388.00
15:10:02: 

15:10:02: CHANNEL,STATE,VOLTAGE,CURRENT
15:10:02: 1,1,1.55,948.00
15:10:02: 2,1,1.40,860.00
15:10:02: 3,1,1.37,324.00
15:10:02: 4,1,1.61,356.00
15:10:02: 5,1,1.55,700.00
15:10:02: 6,1,1.61,776.00
15:10:02: 7,1,1.37,892.00
15:10:02: 8,1,1.40,952.00
15:10:02: 9,1,1.37,464.00
15:10:02: 10,1,1.61,524.00
15:10:02: 11,1,1.55,568.00
15:10:02: 12,1,1.55,612.00
15:10:02: 13,1,1.60,356.00
15:10:02: 14,1,1.61,384.00
15:10:02: 15,1,1.51,388.00
15:10:02: 16,1,1.40,420.00
15:10:02: 

15:10:03: CHANNEL,STATE,VOLTAGE,CURRENT
15:10:03: 1,1,1.61,952.00
15:10:03: 2,1,1.61,968.00
15:10:03: 3,1,1.61,356.00
15:10:03: 4,1,1.61,356.00
15:10:03: 5,1,1.40,700.00
15:10:03: 6,1,1.45,788.00
15:10:03: 7,1,1.37,880.00
15:10:03: 8,1,1.61,976.00
15:10:03: 9,1,1.61,420.00
15:10:03: 10,1,1.61,548.00
15:10:03: 11,1,1.61,532.00
15:10:03: 12,1,1.61,656.00
15:10:03: 13,1,1.61,352.00
15:10:03: 14,1,1.53,364.00
15:10:03: 15,1,1.55,388.00
15:10:03: 16,1,1.50,388.00
15:10:03: 

15:10:03: CHANNEL,STATE,VOLTAGE,CURRENT
15:10:03: 1,1,1.61,924.00
15:10:03: 2,1,1.45,844.00
15:10:03: 3,1,1.55,356.00
15:10:03: 4,1,1.47,324.00
15:10:03: 5,1,1.55,700.00
15:10:03: 6,1,1.55,788.00
15:10:03: 7,1,1.61,880.00
15:10:03: 8,1,1.55,968.00
15:10:03: 9,1,1.61,472.00
15:10:03: 10,1,1.60,524.00
15:10:03: 11,1,1.40,568.00
15:10:03: 12,1,1.55,636.00
15:10:03: 13,1,1.40,356.00
15:10:03: 14,1,1.37,356.00
15:10:03: 15,1,1.55,388.00
15:10:03: 16,1,1.51,388.00
15:10:03: 

15:10:03: CHANNEL,STATE,VOLTAGE,CURRENT
15:10:03: 1,1,1.40,868.00
15:10:03: 2,1,1.55,948.00
15:10:03: 3,1,1.40,356.00
15:10:03: 4,1,1.37,324.00
15:10:03: 5,1,1.40,700.00
15:10:03: 6,1,1.55,756.00
15:10:03: 7,1,1.61,924.00
15:10:03: 8,1,1.60,924.00
15:10:03: 9,1,1.61,492.00
15:10:03: 10,1,1.55,492.00
15:10:03: 11,1,1.61,608.00
15:10:03: 12,1,1.60,580.00
15:10:03: 13,1,1.61,372.00
15:10:03: 14,1,1.55,324.00
15:10:03: 15,1,1.61,420.00
15:10:03: 16,1,1.37,388.00
15:10:03: 

15:10:04: CHANNEL,STATE,VOLTAGE,CURRENT
15:10:04: 1,1,1.55,892.00
15:10:04: 2,1,1.60,952.00
15:10:04: 3,1,1.61,356.00
15:10:04: 4,1,1.61,356.00
15:10:04: 5,1,1.50,732.00
15:10:04: 6,1,1.50,732.00
15:10:04: 7,1,1.37,924.00
15:10:04: 8,1,1.60,892.00
15:10:04: 9,1,1.61,492.00
15:10:04: 10,1,1.55,472.00
15:10:04: 11,1,1.50,612.00
15:10:04: 12,1,1.61,576.00
15:10:04: 13,1,1.61,364.00
15:10:04: 14,1,1.55,356.00
15:10:04: 15,1,1.61,408.00
15:10:04: 16,1,1.40,388.00
15:10:04: 

15:10:04: CHANNEL,STATE,VOLTAGE,CURRENT
15:10:04: 1,1,1.45,956.00
15:10:04: 2,1,1.40,980.00
15:10:04: 3,1,1.60,356.00
15:10:04: 4,1,1.45,356.00
15:10:04: 5,1,1.60,732.00
15:10:04: 6,1,1.61,756.00
15:10:04: 7,1,1.40,920.00
15:10:04: 8,1,1.50,924.00
15:10:04: 9,1,1.61,476.00
15:10:04: 10,1,1.40,492.00
15:10:04: 11,1,1.55,580.00
15:10:04: 12,1,1.61,580.00
15:10:04: 13,1,1.37,352.00
15:10:04: 14,1,1.61,372.00
15:10:04: 15,1,1.60,388.00
15:10:04: 16,1,1.55,420.00
15:10:04: 

15:10:05: CHANNEL,STATE,VOLTAGE,CURRENT
15:10:05: 1,1,1.60,836.00
15:10:05: 2,1,1.61,968.00
15:10:05: 3,1,1.60,356.00
15:10:05: 4,1,1.61,364.00
15:10:05: 5,1,1.55,700.00
15:10:05: 6,1,1.50,788.00
15:10:05: 7,1,1.60,888.00
15:10:05: 8,1,1.40,948.00
15:10:05: 9,1,1.51,444.00
15:10:05: 10,1,1.40,532.00
15:10:05: 11,1,1.55,532.00
15:10:05: 12,1,1.61,636.00
15:10:05: 13,1,1.37,356.00
15:10:05: 14,1,1.61,372.00
15:10:05: 15,1,1.60,388.00
15:10:05: 16,1,1.61,420.00
15:10:05: 

15:10:05: CHANNEL,STATE,VOLTAGE,CURRENT
15:10:05: 1,1,1.60,924.00
15:10:05: 2,1,1.61,948.00
15:10:05: 3,1,1.40,356.00
15:10:05: 4,1,1.50,324.00
15:10:05: 5,1,1.61,700.00
15:10:05: 6,1,1.61,788.00
15:10:05: 7,1,1.61,880.00
15:10:05: 8,1,1.61,968.00
15:10:05: 9,1,1.61,444.00
15:10:05: 10,1,1.40,548.00
15:10:05: 11,1,1.55,532.00
15:10:05: 12,1,1.37,640.00
15:10:05: 13,1,1.53,364.00
15:10:05: 14,1,1.61,364.00
15:10:05: 15,1,1.61,416.00
15:10:05: 16,1,1.61,420.00
15:10:05: 

15:10:06: CHANNEL,STATE,VOLTAGE,CURRENT
15:10:06: 1,1,1.61,968.00
15:10:06: 2,1,1.60,948.00
15:10:06: 3,1,1.61,356.00
15:10:06: 4,1,1.45,356.00
15:10:06: 5,1,1.40,700.00
15:10:06: 6,1,1.60,776.00
15:10:06: 7,1,1.61,892.00
